feature,coefficient,abs_coefficient
cat__w1_q34_Poor,-1.3577200254054211,1.3577200254054211
"cat__w1_ppincimp_$50,000 to $59,999",1.2345932916698321,1.2345932916698321
"cat__w1_ppincimp_$40,000 to $49,999",-1.0364181884691412,1.0364181884691412
cat__w1_q34_Excellent,0.8861839000050585,0.8861839000050585
"cat__w1_ppincimp_$10,000 to $12,499",0.8784171864838969,0.8784171864838969
"cat__w1_ppincimp_$25,000 to $29,999",-0.8653655200882231,0.8653655200882231
cat__w1_ppeduc_5th or 6th grade,-0.8546285108443497,0.8546285108443497
"cat__w1_ppincimp_$15,000 to $19,999",-0.7495418923102405,0.7495418923102405
num__w1_married,0.632362742044825,0.632362742044825
cat__w1_ppwork_Not working - looking for work,0.6124975699882779,0.6124975699882779
"cat__w1_ppincimp_$7,500 to $9,999",-0.5554932623192032,0.5554932623192032
cat__w1_ppeduc_9th grade,0.5339800930466453,0.5339800930466453
"cat__w1_ppincimp_$125,000 to $149,999",0.5091400482496825,0.5091400482496825
"cat__w1_ppincimp_$250,000 or more",-0.49714097773391613,0.49714097773391613
"cat__w1_ppincimp_$150,000 to $174,999",0.4946638009779089,0.4946638009779089
"cat__w1_ppethm_Other, Non-Hispanic",0.49394248020251347,0.49394248020251347
cat__w1_same_sex_couple_raw_NOT same-sex souple,0.49363725310536744,0.49363725310536744
cat__w1_same_sex_couple_raw_same_sex_couple,-0.44115332418713543,0.44115332418713543
"cat__w1_ppincimp_$75,000 to $84,999",0.4142226214007907,0.4142226214007907
cat__w1_ppeduc_HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),-0.40267149871233304,0.40267149871233304
"cat__w1_ppincimp_$5,000 to $7,499",-0.39789247758464125,0.39789247758464125
cat__w1_ppwork_Not working - disabled,-0.37633313054317946,0.37633313054317946
"cat__w1_ppeduc_Some college, no degree",-0.3434798109917693,0.3434798109917693
cat__w1_ppeduc_Professional or Doctorate degree,0.3222112537822665,0.3222112537822665
cat__w1_q34_Good,0.3184661117973449,0.3184661117973449
"cat__w1_ppincimp_$30,000 to $34,999",0.28813387064472207,0.28813387064472207
"cat__w1_ppethm_2+ Races, Non-Hispanic",-0.26683611824051345,0.26683611824051345
cat__w1_ppeduc_7th or 8th grade,0.2633323698055163,0.2633323698055163
cat__w1_ppwork_Working - as a paid employee,0.25610241697713276,0.25610241697713276
cat__w1_ppwork_Not working - on temporary layoff from a job,-0.24127640944006892,0.24127640944006892
cat__w1_ppeduc_10th grade,-0.2081839228980911,0.2081839228980911
num__w1_ppage,-0.2030464230579356,0.2030464230579356
cat__w1_ppeduc_Associate degree,0.1946031055433964,0.1946031055433964
cat__w1_ppeduc_12th grade NO DIPLOMA,0.1848416902826554,0.1848416902826554
cat__w1_ppeduc_Masters degree,0.16852214570378143,0.16852214570378143
cat__w1_ppeduc_11th grade,0.16526447151455134,0.16526447151455134
num__w1_relate_duration_in2017_years,0.1623496145433331,0.1623496145433331
cat__w1_q34_Missing,0.15760776364634696,0.15760776364634696
num__w1_q24_met_online,0.15649160515978217,0.15649160515978217
"cat__w1_ppincimp_$20,000 to $24,999",-0.14567820555647046,0.14567820555647046
"cat__w1_ppincimp_$35,000 to $39,999",0.14269997959925737,0.14269997959925737
"cat__w1_ppincimp_$12,500 to $14,999",-0.1414926921327197,0.1414926921327197
"cat__w1_ppincimp_Less than $5,000",0.13715221579567868,0.13715221579567868
cat__w1_ppwork_Not working - retired,-0.13272530478881453,0.13272530478881453
"cat__w1_ppincimp_$175,000 to $199,999",0.12595638310667315,0.12595638310667315
"cat__w1_ppincimp_$85,000 to $99,999",0.1234068011132732,0.1234068011132732
cat__w1_q34_Fair,0.09193786741638212,0.09193786741638212
"cat__w1_ppincimp_$60,000 to $74,999",0.07760683493095605,0.07760683493095605
cat__w1_ppethm_Hispanic,-0.07678380250879702,0.07678380250879702
"cat__w1_ppethm_Black, Non-Hispanic",-0.07027934924854637,0.07027934924854637
"cat__w1_ppincimp_$100,000 to $124,999",0.0658135717935669,0.0658135717935669
cat__w1_ppgender_Male,0.06367921342855808,0.06367921342855808
"cat__w1_ppincimp_$200,000 to $249,999",-0.050299460653450444,0.050299460653450444
cat__w1_q34_Very Poor,-0.04399168854148101,0.04399168854148101
cat__w1_ppwork_Working - self-employed,-0.0437930636988642,0.0437930636988642
"cat__w1_ppethm_White, Non-Hispanic",-0.027559281286425184,0.027559281286425184
cat__w1_ppwork_Not working - other,-0.021988149576251625,0.021988149576251625
cat__w1_ppeduc_No formal education,0.015942310883261892,0.015942310883261892
cat__w1_ppeduc_Bachelors degree,0.012750231802693525,0.012750231802693525
cat__w1_ppgender_Female,-0.011195284510331744,0.011195284510331744
