meeting_pathway,proportion_yes
met_through_friend,0.281638846737481
R_friend,0.22974203338391502
P_friend,0.2212443095599393
bar_restaurant,0.19787556904400608
met_as_through_cowork,0.16570561456752655
R_cowork,0.15720789074355082
P_cowork,0.15235204855842185
met_through_family,0.13687405159332322
met_online,0.11844431349440189
school,0.108649468892261
metonline_no_phone_apps,0.10047142015321155
party,0.0968133535660091
R_family,0.08588770864946889
P_family,0.0795144157814871
college,0.0779969650986343
customer,0.06282245827010623
internet_dating,0.059484066767830045
church,0.0582701062215478
met_through_as_nghbrs,0.057056145675265554
vol_org,0.05675265553869499
R_neighbor,0.049772382397572076
P_neighbor,0.04218512898330804
public,0.03945371775417299
internet_other,0.03368740515933232
blind_date,0.030045523520485583
mil,0.021547799696509863
P_sig_other,0.015174506828528073
I_sig_other,0.014871016691957511
R_sig_other,0.014264036418816389
vacation,0.013353566009104704
internet_soc_network,0.013353566009104704
work_neighbors,0.012443095599393019
internet_chat,0.011229135053110774
singles_serve_nonint,0.008801213960546282
I_friend,0.007890743550834597
internet_game,0.0036418816388467377
I_family,0.003338391502276176
business_trip,0.0024279210925644916
I_cowork,0.0021244309559939304
internet_org,0.0015174506828528073
I_neighbor,0.0009104704097116844
